,Time_difference
0,13
1,4
2,7
3,6
4,6
5,12
6,11
7,7
8,13
9,4
10,6
11,6
12,6
13,10
14,5
15,6
16,7
17,5
18,5
19,13
20,7
21,12
22,7
23,6
24,7
25,15
26,7
27,7
28,15
29,6
