,Time_difference
0,10
1,14
2,11
3,6
4,5
5,22
6,6
7,30
8,6
9,5
10,7
11,7
12,8
13,15
14,18
15,14
16,13
17,20
18,7
19,32
20,15
21,26
22,6
23,6
24,14
25,33
26,6
27,21
28,8
29,13
