,Time_difference
0,11
1,4
2,13
3,6
4,8
5,6
6,17
7,6
8,11
9,19
10,27
11,5
12,4
13,6
14,5
15,14
16,4
17,8
18,5
19,14
20,5
21,13
22,7
23,14
24,4
25,11
26,6
27,13
28,8
29,11
