,Time_difference
0,4
1,6
2,8
3,6
4,8
5,4
6,9
7,5
8,5
9,6
10,5
11,10
12,7
13,7
14,6
15,6
16,6
17,9
18,6
19,10
20,9
21,14
22,18
23,5
24,5
25,4
26,12
27,5
28,8
29,4
