,Time_difference
0,8
1,5
2,4
3,6
4,10
5,4
6,12
7,7
8,18
9,6
10,10
11,6
12,5
13,5
14,6
15,10
16,8
17,8
18,5
19,4
20,11
21,12
22,7
23,5
24,6
25,6
26,9
27,4
28,7
29,9
