,Time_difference
0,6
1,13
2,4
3,5
4,4
5,6
6,8
7,8
8,23
9,19
10,5
11,6
12,19
13,15
14,20
15,12
16,13
17,12
18,6
19,9
20,7
21,8
22,14
23,7
24,18
25,11
26,12
27,10
28,7
29,13
