,Time_difference
0,20
1,14
2,6
3,22
4,7
5,5
6,11
7,17
8,23
9,17
10,12
11,13
12,7
13,5
14,16
15,7
16,29
17,7
18,4
19,6
20,12
21,35
22,7
23,24
24,24
25,18
26,18
27,7
28,5
29,7
