,Time_difference
0,6
1,33
2,7
3,31
4,6
5,14
6,13
7,13
8,7
9,6
10,6
11,11
12,10
13,7
14,18
15,10
16,26
17,16
18,17
19,21
20,13
21,17
22,6
23,7
24,10
25,5
26,13
27,12
28,15
29,6
