,value,date,time
0,-0.4069940684817862,2022/2/17,上午 04:13:07
1,-0.4069940684817862,2022/2/17,上午 04:13:21
2,-1.76364096342019,2022/2/17,上午 04:13:32
3,-0.4069940684817862,2022/2/17,上午 04:13:38
4,0.9496528264566175,2022/2/17,上午 04:13:43
5,-0.4069940684817862,2022/2/17,上午 04:14:05
6,0.9496528264566175,2022/2/17,上午 04:14:11
7,0.9496528264566175,2022/2/17,上午 04:14:41
8,0.9496528264566175,2022/2/17,上午 04:14:47
9,0.9496528264566175,2022/2/17,上午 04:14:52
10,-1.76364096342019,2022/2/17,上午 04:14:59
11,0.9496528264566175,2022/2/17,上午 04:15:06
12,0.9496528264566175,2022/2/17,上午 04:15:14
13,0.9496528264566175,2022/2/17,上午 04:15:29
14,0.9496528264566175,2022/2/17,上午 04:15:47
15,-0.4069940684817862,2022/2/17,上午 04:16:01
16,0.9496528264566175,2022/2/17,上午 04:16:14
17,0.9496528264566175,2022/2/17,上午 04:16:34
18,-0.4069940684817862,2022/2/17,上午 04:16:41
19,0.9496528264566175,2022/2/17,上午 04:17:13
20,-0.4069940684817862,2022/2/17,上午 04:17:28
21,-0.4069940684817862,2022/2/17,上午 04:17:54
22,-1.76364096342019,2022/2/17,上午 04:18:00
23,-1.76364096342019,2022/2/17,上午 04:18:06
24,0.9496528264566175,2022/2/17,上午 04:18:20
25,-0.4069940684817862,2022/2/17,上午 04:18:53
26,-1.76364096342019,2022/2/17,上午 04:18:59
27,-0.4069940684817862,2022/2/17,上午 04:19:20
28,-0.4069940684817862,2022/2/17,上午 04:19:28
29,0.9496528264566175,2022/2/17,上午 04:19:41
